Temperatura Servicio,vajilla,descripcion,maridaje,graduacion,lupulo_afrutado_citrico,lupulo_floral_herbal,amargor,color,maltoso,licoroso,afrutado,especias,acidez
4-6º,pilsner,"Cerveza de carácter único, inspirada en las Lager Pilsner checas e ideal para tomar a diario.",Pescados a la plancha o marinados,5.4,,0.7,2.5,0.4,0.5,0.5,1.2,,0.5
4-6º,tulip,"Cerveza de carácter único, inspirada en las Lager Pilsner checas e ideal para tomar a diario.",Pescados a la plancha o marinados,5.4,,0.7,2.5,0.4,0.5,0.5,1.2,,0.5
4-6º,tulip,"Cerveza dorada, de espuma cremosa y consistente, con un sabor fino y aroma afrutado.",Pescados a la plancha o marinados,5.5,,0.7,2.5,0.4,0.5,1.4,1.3,,0.3
4-6º,pilsner,"Cerveza dorada, de espuma cremosa y consistente, con un sabor fino y aroma afrutado.",Pescados a la plancha o marinados,5.5,,0.7,2.5,0.5,0.5,0.7,1.3,,
4-6º,pilsner,La primera cerveza ecológica elaborada en España.,"Pescados y mariscos crudos,hervidos o al vapor.",5.4,,0.6,2.6,0.4,0.6,,1.1,,0.4
4-6º,pilsner,Equilibrada con agradable amargor y notas tostadas de la cebada.,Pescados a la plancha o marinados,5.4,,0.6,2.6,0.4,0.6,0.5,1.1,,0.4
4-6º,pilsner,Equilibrada con agradable amargor y notas tostadas de la cebada.,Pescados a la plancha o marinados,5.4,,0.6,2.6,0.4,0.6,0.5,1.1,,0.4
4-6º,pilsner,Suave y refrescante elaborada con una buena selección de lúpulos.,Pescados a la plancha o marinados.,4.4,,0.6,1.6,0.4,0.7,,0.6,,0.3
4-6º,tulip,Adolphus Busch creó esta receta hace 138 años. Aún se mantiene intacta.,"Pescados, hamburguesas y ensaladas.",5,,0.3,1.8,0.4,0.7,,1.5,,
4-6º,tulip,"Cerveza lager de origen danés, de espuma persistente y ligera de cuerpo.",Risotto y pollo.,5,,0.7,2.2,0.4,0.6,,1.2,,0.4
4-6º,tulip,"Cerveza Lager de origen danés, de espuma persistente y ligera de cuerpo.",Risotto y pollo.,5,,0.7,2.2,0.4,0.6,,1.2,,0.4
4-6º,tulip,Cerveza mexicana de mayor venta en el mundo. Excelente para refrescarse.,"Ceviche, pollo y carnes ligeras.",4.5,,0.6,1.8,0.4,1.3,,0.6,,
4-6º,tulip,"Con sabor a cereales, dulce al principio y  seca y amarga al final.","Embutidos, pavo asado",5,,1,2.1,0.6,0.7,,0.5,,
4-6º,tulip,"Lager japonesa, 100% de malta, con el método de primera presión.","Sushi, hamburguesas.",5,,0.9,2.1,0.4,0.7,,1.6,,
4-6º,tulip,"Cerveza de origen alsaciano, ligera de cuerpo con amargor suave y final equilibrado.","Pescados, hamburguesas y ensaladas.",4.2,,0.7,2.2,0.5,0.6,,1.6,,0.3
4-6º,tulip,"Cerveza de origen alsaciano, ligera de cuerpo con amargor suave y final equilibrado.","Pescados, hamburguesas y ensaladas.",4.2,,0.7,2.2,0.5,0.6,,1.6,,0.3
4-6º,tulip,"Rica y llena de sabor, tiene un gusto nítido y refrescante.","Comida mexicana, pescados y ensaladas.",4.5,,0.5,1.9,0.6,1.1,,1.1,,
4-6º,tulip,Cerveza mexicana tipo Pilsner de sabor ligero y muy refrescante.,"Comida mexicana, pescados y ensaladas.",4.5,,0.7,1.8,0.4,1.4,,1.3,,
4-6º,tulip,Dorada brillante con equilibrio entre el amargor del lúpulo y el cereal.,Pizza de jamón y morriones.,4.9,0.7,0.7,1.9,0.4,0.4,,1.4,,0.4
4-6º,tulip,"La belga más vendida. Notas suaves a cereal, cítricos y leve amargor final.","Pescados, hamburguesas y ensaladas.",5,,0.6,2,0.6,0.4,,1.7,,
4-6º,pilsner,"Clásica Lager Alemana , refrescante y de color dorado brillante.","Pescados, hamburguesas y ensaladas.",4.8,0.4,0.7,2.2,0.4,0.6,,1.3,,
4-6º,tulip,Cerveza refrescante que combina el sabor de Cinco Estrellas con zumo natural de limón.,"Comida mexicana, india, china etc.",3.2,,,1.5,0.3,0.6,,2.4,,2.3
4-6º,tulip,Cerveza refrescante elaborada combinando San Miguel Especial con zumo de limón natural.,Carnes blancas y platos grasos.,3.2,,,1.6,0.3,0.3,,2.3,,1.8
4-6º,tulip,"Cerveza pilsner de carácter intenso y con mucho cuerpo, elaborada con la variedad de lúpulo ‘Saaz’ que le otorga un sabor con amargor moderado y un ligero dulzor en gusto.",Carnes suaves y pescados blancos.,6.4,,1.2,2.7,0.7,0.9,0.7,1.2,,0.6
4-8º,tulip,"Cerveza intensa, de fermentación larga y reposada y color rojizo pero con el punto de suavidad y frescura de una lager.",Quesos muy curados.,7.2,,0.7,2.9,1.6,1.4,1.4,1.3,,0.5
4-6º,tulip,Cerveza lager muy equilibrada entre el dulzor de las maltas y un ligero amargor al final de cada trago.,"Mariscos (gambas, langostinos...)",5.2,0.3,1.4,2.5,0.9,1.2,0.7,1.3,,
10-14º,tulip,"Cerveza lager envejecida en barrica de roble 12 meses con un sabor intenso y notas a vainilla, caramelo y miel.","Chocolate, donde sus notas grasas y tostadas se entremezclan con los matices acaramelados.",7,,0.3,2.3,0.8,1.8,1.4,1.2,1.8,
10-14º,tulip,Cerveza lager envejecida en barrica de Bourbon con intensas notas a caramelo y frutas maduras y marcado aroma a vainilla y coco.,"Chocolate, café, cacahuetes o bollos dulces como el Brioche.",6.9,,,2.1,0.7,1.6,1,0.7,2.1,
10-14º,tulip,"Cerveza lager envejecida varios meses en barrica de roble, con notas a cereal, almendra y vainilla.","Carnes blancas, de cerdo, o un foie.",6.1,,0.3,1.9,0.7,1.3,0.9,0.8,1.9,
4-8º,pint,Cerveza especialmente lupulada con un sabor único y llena de aromas y matices.,Comida mexicana y picante.,5.8,2.2,1.4,2.9,1.7,1,0.6,0.4,,0.3
4-8º,pint,Cerveza especialmente lupulada con un sabor único y llena de aromas y matices.,comida mexicana y picante.,5.8,2.2,1.4,2.9,1.7,1,0.6,0.4,,0.3
4-6ºC,tulip,"Cerveza tostada de doble lúpulo, gran cuerpo y sabor intenso.",Carne roja o de caza.,7.5,,1.2,2.9,1.1,1.2,1.6,1.2,,
6-8º,tulip,"Cerveza tostada de doble lúpulo, gran cuerpo y sabor intenso.",Carne roja o de caza.,7.8,,1.2,2.9,1.1,1.2,1.6,1.2,,
4-8º,tulip,Cerveza especial elaborada con una exclusiva combinación de lúpulos centroeuropeos y maltas.,Mejillones en escabeche.,6.2,,0.7,2.6,1,1,0.7,1,,0.4
4-6º,pilsner,Es la perfecta mezcla de cerveza y limón.,"Ceviche, salchichas, hamburguesas y carne a la barbacoa.",0.9,,,1,0.3,0.8,,2.2,,2
4-6º,tulip,Es la perfecta mezcla de cerveza y limón.,"Ceviche, salchichas, hamburguesas y carne a la barbacoa.",0.9,,,1,0.3,0.8,,2.2,,2
4-6º,tulip,Cerveza especial elaborada con una exclusiva combinación de lúpulos centroeuropeos y maltas.,Mejillones en escabeche.,6.2,,0.7,2.6,1,1,0.7,1,,0.4
4-6º,tulip,"Un gran clásico. Destaca por su equilibrio, su frescura y ligero amargor.","Embutidos, ensaladas, hamburguesas y ceviche.",5.4,,0.9,2.2,0.6,0.6,,0.7,,
10-14º,tulip,Cerveza de aromas ahumados a chocolate y café que reinterpreta el estilo tradicional Baltic Porter.,"Moluscos asados, tiramisú.",7.8,,,2.7,5,2.5,1.7,0.7,,
6-8º,tulip,Con lúpulos Saaz cultivados localmente y cebada de Moravia.,"Pizza, hamburguesas y estofados.",4.7,,,2.3,4.6,2.4,0.6,0.3,,
4-6º,tulip,"Cuerpo ligero y suave sabor a cereal, refrescante y amargor medio.","Pescados, hamburguesas y ensaladas.",5.2,,0.5,1.9,3.6,1,0.3,1.5,,1.1
4-6º,pilsner,Cerveza rubia tipo Pilsner con sabor a malta y un final ligeramente amargo.,"Pescados, hamburguesas y ensaladas.",4.8,,1,2.3,0.4,0.8,,1,,0.5
4-6º,tulip,"Color dorado claro, aromas de pan y cereal, lúpulo y toques cítricos.","Carnes blancas, hamburguesas y ensaladas.",4.9,,0.6,2,0.4,1.3,,1.1,,
4-6º,tulip,Elaborada siguiendo estrictamente la ley de pureza Alemana.,"Carnes blancas, hamburguesas y ensaladas.",4.2,,0.8,2.7,0.5,0.5,,1.1,,0.3
4-6º,tulip,"Agradable al paladar, ligeramente dulce con sabor a malta y a lúpulo.","Carnes blancas, hamburguesas y ensaladas.",5.2,,0.8,2,0.6,0.7,0.3,0.7,,
4-6º,tulip,"Color miel con notas de pan, frutos secos y un contrapunto amargo.","Embutidos, cerdo.",5.2,,0.5,1.9,0.5,1,0.3,0.8,,0.3
4-6º,pilsner,Cerveza premium alemana que cumple con la ley de pureza con un final refrescante y cierta sequedad.,"Carnes blancas, frituras, hamburguesas y ensaladas.",4.8,,0.7,2.2,0.4,0.7,,1,,0.7
4-6º,tulip,Malta caramelizada combinada con lúpulos Hallertau.,"Pizza, cerdo, costillas y embutidos.",5.8,,0.4,2,1,1.3,1.1,0.4,,1.1
4-6º,tulip,"Color dorado claro, aromas de pan y cereal, lúpulo y toques cítricos.","Pizza, cerdo, costillas y embutidos.",6.1,,0.7,2.1,0.5,0.9,0.3,1,,
4-6º,tulip,"Cuerpo entero, lupulada y de temporada.","Pizza, embutidos y Pretzel.",5.8,0.4,1.4,2.3,0.5,1.2,0.5,0.6,,0.6
4-6º,tulip,"Color oscuro con reflejo dorado a la luz por la malta, evoca sensaciones de café.",Carnes asadas.,5,0.3,0.9,2.3,2.8,1.9,,1.1,,0.5
4-6º,tulip,"Clásica Dunkel de Münich: notas maltosas y tostadas, con recuerdos a café.",Platos con salchichas.,5.5,,,2.1,2.9,1.7,0.4,1.1,,0.4
4-6º,weizen-weissbier,Aroma a malta con una nota de sabor tostado y rastro de chocolate amargo.,"Embutidos, cerdo.",5.1,,,2,2.1,2.2,0.3,0.8,,
4-6º,tulip,Color negro cobrizo. Notas terrosas y de chocolate. Ahumada y amarga.,Carnes ahumadas y embutidos.,4.8,,,1.8,5,1.9,,,,0.4
4-6º,tulip,Con maltas tostadas que le brindan su característico color oscuro.,Postres con chocolate negro y fresas.,5.5,,,2.1,4.5,2.1,1.1,0.6,,0.6
4-6º,weizen-weissbier,"Clásica Dunkel de Münich: notas maltosas y tostadas, con recuerdos a café.",Carnes ahumadas y embutidos.,5.5,,0.3,2.1,2.2,1.2,1.4,1.2,1.3,0.7
4-6º,tulip,"Lager oscura, con notas tostadas con recuerdos a café.","Queso curado, presas de caza, comida mexicana y postres lácticos.",7,,,2.2,5,1.8,1.2,0.7,,
4-6º,tulip,Aroma a nuez y caramelo y un toque de madera de cedro.,"Queso curado, presas de caza, comida mexicana y postres lácticos.",6.77,,,2.3,5,1.9,1.1,,,0.4
4-6º,tulip,Color amarillo dorado y aroma a malta armonizan con su dulzura.,Cerdo y mariscos.,6.9,,0.7,2.4,0.8,0.4,0.9,0.6,,
4-6º,tulip,Cerveza Extra de alta graduación y de intenso sabor procedente de una cuidada selección de maltas y lúpulos.,Embutidos curados.,7,,1.1,2.6,1.3,1.3,1.3,1.4,,
6-8º,tulip,"Notas de ciruelas e higos, tonos a caramelo, nueces y chocolate.","Queso curado, presas de caza, comida mexicana y postres lácticos.",7.4,,,2.1,3.8,1.9,1.5,0.9,,
4-6º,weizen-weissbier,Carácter refinado y un inconfundible aroma distintivo de plátano.,Comidas picantes y postres afrutados.,5.1,,,1.6,0.7,0.4,0.3,1.6,2,0.4
4-6º,weizen-weissbier,Maltas oscuras de trigo y cebada. Color meloso turbio y aroma de plátano.,Carnes ahumadas y embutidos.,5.8,,0.5,2,1.5,1.3,0.4,2.1,2,0.8
4-6º,tulip,"Cerveza  de trigo refrescante y afrutada, de color dorado intenso y apariencia turbia.",Comidas picantes y postres afrutados.,4.9,,0.5,2.1,0.9,0.7,,1.8,2.2,0.8
4-6º,weizen-weissbier,Con levadura fina dando uso a las habilidades cerveceras bávaras.,Comidas picantes y postres afrutados.,5.3,,0.7,2.1,0.7,0.8,1.1,1.8,0.3,
4-6º,weizen-weissbier,"Lager oscura ambarina, con notas tostadas con recuerdos a café.",Comidas picantes y postres afrutados.,5.35,,,2,4.1,1.7,0.4,0.7,0.3,
4-6º,weizen-weissbier,Con levadura Naturtrüb. El sabor original de la cerveza de trigo fresco.,Comidas picantes y postres afrutados.,5,,0.3,2,0.7,1.3,,1.7,1.5,1
4-6º,weizen-weissbier,Cerveza de trigo blanco de sabor fresco y aromas frutales gracias a sus levaduras especiales.,Comidas picantes y postres afrutados.,6,,0.5,1.8,0.6,0.8,0.4,1.6,2,0.8
4-6º,weizen-weissbier,Clásica trigo muniquesa. Turbia y ligeramente frutal.,Comidas picantes y postres afrutados.,6,,0.3,2.1,2,1.2,2.2,1.2,1.3,0.7
10-14º,snifter,"De color caoba, casi negra, en los giros del coñac.",Carnes de caza y quesos fuertes.,12,,,2.4,3.9,1.9,2.5,1.6,,0.9
4-6º,weizen-weissbier,Blanco brillante con cuerpo intenso.,Comidas picantes y postres afrutados.,5.2,,0.3,2,0.6,0.5,0.6,2,1.7,
4-6º,weizen-weissbier,"Color dorado anaranjado. Aromas a pan, bollería y plátano.",Comidas picantes y postres afrutados.,6.2,1.3,0.9,2.1,0.7,0.4,0.4,1,0.8,
6-8º,weizen-weissbier,"Una cerveza de trigo distinta. Alto acohol, maltosa y acaramelada.","Comidas picantes, carnes blancas y postres afrutados.",8.2,1.4,0.5,2.4,1.3,0.9,1.7,1.3,,
6-8º,tulip,"Color rubí oscuro, intensa y con fuertes aromas a banana y ciruelas.","Queso curado, presas de caza, comida mexicana y postres lácticos.",8.2,0.6,0.4,2.3,2,1.7,1.6,1.7,2.1,0.3
4-6º,weizen-weissbier,"Ámbar caoba. Aroma afrutado, con notas de clavo y nuez moscada y final amargo.","Comidas picantes, carnes blancas y postres afrutados.",5.45,,,1.8,1.7,0.8,,2,1.9,1
6-8º,weizen-weissbier,"Color miel dorado. Fuerte, con notas de miel, pan y frutos rojos.","Comidas picantes, carnes blancas y postres afrutados.",7.3,0.6,0.4,2.3,3.9,1.7,1.2,1.7,2.1,
4-6º,weizen-weissbier,"Color amarillo dorado, huele a clavo con un refrescante sabor a plátano.",Comidas picantes y postres afrutados.,5.4,0.2,0.2,2.2,0.9,0.2,1,2,2,0.1
4-6º,weizen-weissbier,Notas de plátano maduro que armonizan con sabores de malta tostada.,Comidas picantes y postres afrutados.,5.3,,,2.2,2.1,2,0.4,1.8,0.6,0.5
4-6º,weizen-weissbier,Cerveza muy fresca y refrescante. Sabor ácido y cítrico.,Comidas picantes y postres afrutados.,3,,,1.3,0.4,0.9,,,0.6,2.7
6-8º,tulip,"Color pálido claro, con aroma a levadura ligeramente ahumada.",Mariscos ahumados.,4.3,,,2.3,0.5,2.6,0.5,,,
6-8º,tulip,De malteado interno y madurada  directamente en barril de roble.,"Carnes asadas, mariscos.",5.1,,,2.1,3,3.8,1.4,0.1,1,0.5
4-6º,weizen-weissbier,Sabor ahumado. Se elabora de una mezcla de cebada y malta de trigo.,"Carnes asadas, quesos y mariscos.",5.2,,0.2,2.3,2.3,3.1,1,0.3,,0.8
6-8º,tulip,De color amarillo dorado con ligero olor a levadura y miel.,Guisos de temporada como patatas guisadas o lentejas.,5.5,,0.7,2.2,0.5,0.7,0.4,1.3,,0.3
4-6º,tulip,"La cerveza de Colonia. Color dorado, ligera, algo dulce y aroma de levadura.","Spaghetti carbonara, pizza.",4.8,0.2,1,1.8,0.4,1.2,1.2,0.8,,0.4
10-14º,tulip,Color ámbar claro. Frutal y refrescante.,Comidas especiadas y quesos grasos.,6,,0.7,2.1,0.9,0.8,0.3,1.3,2.3,0.3
10-14º,tulip,"Cerveza de Amberes. Color ámbar cobrizo, con aromas ligeros a malta y fruta roja.",Comidas especiadas y quesos grasos.,5.2,0.6,1.2,1.8,1.4,0.6,0.5,1.6,1.8,0.6
6-8º,pint,"Produce un sabor muy rico, duradero y completo. Sabor a lúpulo duradero.",Quesos intensos.,6,0.3,0.6,3.1,0.6,2.1,1,0.7,,
10-14º,tulip,Color castaño-ámbar con una ligera turbidez.,Comidas especiadas y quesos grasos.,5.5,0.7,1.2,1.9,1.3,1.8,0.9,1,0.4,1
8-14º,goblet,Rubia pálida con una efervescencia excelente y regular.,"Camarones con hierbas cajún, apio, nabo y salsa de calabaza.",8.5,1,1,2.5,0.5,0.6,0.9,1.7,1.4,0.6
8-14º,goblet,"Natural con un amargor sutil, un sabor refinado y  carácter lupulado.","Carnes de pollo, cordero y cerdo; verduras y pescados como atún o mejillones.",8.5,1.3,,2.1,0.6,0.4,1,0.9,0.4,1
8-14º,goblet,"El blanco, el dragón de oro y letras rojas hacen un conjunto elegante.","Queso azul, estofados, tarta de queso fuerte con frutos rojos y chocolate.",10.5,,0.5,2,3.2,1.2,1.9,1.2,1,
8-14º,goblet,"Cerveza rubia ocre, amarga-dulce, suave y con cuerpo.",Carnes ligeras y ensaladas.,8.5,,,2.1,1.2,,2.1,2.1,,
8-14º,tulip,"Rubia belga con aroma afrutado, bien equilibrado.","Ideal para acompañar a pescados, platos de pasta y ensaladas. También con charcutería de pimienta, pates y quesos de vaca y oveja.",7,,0.4,2,0.6,0.6,0.5,1.4,0.6,
8-14º,goblet,Una cerveza rubia afrutada y poderosa que rinde homenaje a Carlos V.,Comidas especiadas.,8.5,,0.6,2.3,0.5,0.6,1.8,1.4,1.8,
8-14º,goblet,Desde su fundación en 1791 su fábrica ha sido un negocio familiar.,"Sorprendentemente buena con vegetales verdes como las coles de Bruselas y la col rizada, que tienen la dulzura suficiente para compensar la amargura.",8.4,,,2.3,2.3,1.3,1.9,1.3,,1.2
8-14º,goblet,Rubia Pale Ale belga sin filtrar . Un bouquet  afrutado y picante.,Comidas especiadas y quesos grasos.,8,0.9,1.8,2.4,0.8,0.4,0.9,1,0.9,0.4
8-14º,goblet,Combinación de sabores a malta y lúpulo que terminan sumergiéndote.,Carnes ligeras y ensaladas.,10.5,,,2.7,0.9,0.8,2.5,1.8,,0.3
8-14º,goblet,Es la primera cerveza italiana reconocida como cerveza oficial trapense.,Comidas especiadas y quesos grasos.,8.5,,,1.9,1.4,1.7,1.4,0.5,2.2,
8-14º,goblet,7 tipos de malta con una mezcla de 3 tipos de lúpulo.,"Chocolate, postres con café y carnes fritas.",9,,0.4,2.6,4.1,1.5,2,1.3,,0.5
8-14º,goblet,"Gran clásico belga, se eleva en términos de carácter y sabores.",Comidas especiadas y quesos grasos.,10,,,2.1,2.9,1.9,3.3,2.3,,0.7
8-14º,goblet,"Belgian Strong Blonde Ale trapense, de sabor fuerte frutal y lupulado.",Comidas especiadas y quesos grasos.,8,0.9,1.9,2.2,0.8,0.4,1.4,0.7,1,0.4
8-14º,tulip,Belgian Strong Brune Ale trapense con sabores a frutos secos.,"Chocolate, postres con café y carnes fritas.",8,,,2.3,3,1.3,1.4,1.3,,
8-14º,goblet,Cerveza trapense Extra Bruin Ale.,Carnes ligeras y ensaladas.,9.5,,,2.1,4.4,2,2.6,1.9,1.6,
8-14º,tulip,"Cerveza belga, un clásico, rubia Affligem.",Comidas especiadas y quesos grasos.,7,,0.3,2.6,0.6,0.5,0.8,2.3,1.7,0.3
8-14º,goblet,"Aroma a pan horneado, plátano y fruta madura, algo especiada y amarga.",Carnes rojas y frutos secos.,9.5,0.3,,2,0.6,0.7,1.4,1.1,0.7,0.4
8-14º,tulip,Cerveza Ale de color cobrizo intenso y brillante con espuma de color beige.,Quesos azules.,6.4,,0.7,2.5,2.3,1.4,0.7,1.7,1.9,0.6
8-14º,goblet,Aroma de levadura fresca asociado con ligero tono floral rosáceo.,Carnes ligeras y ensaladas.,9,0.3,0.3,2.4,2.8,2,2.9,1.4,1.5,0.3
8-14º,goblet,"Fuerte aroma, deja un sabor relativamente seco con una nota de caramelo.","Queso azul, estofados, tarta de queso fuerte con frutos rojos.",9,0.3,0.3,2.4,2.8,2,2.9,1.4,1.5,0.3
8-14º,goblet,"De color rojo cobrizo, desprende un aroma ligero y complejo.","Chocolate, postres con café y carnes fritas.",7,,,2.3,1.6,1.8,0.5,2,,
8-14º,tulip,Cerveza de abadía de alta fermentación con una crema densa y blanca y sabor afrutado y a malta.,"Tartar de atún, picantes.",6.7,,0.5,1.9,0.6,0.7,0.7,1.8,1,1.2
8-14º,tulip,": Cerveza de abadía tostada y de alta fermentación, con cuerpo y un intenso color rojizo.","Chocolate, postres con café y carnes fritas.",6.5,,0.6,1.8,3.6,2,1,1.5,,0.7
8-14º,goblet,Cerveza Triple de Abadia.,Comidas especiadas y quesos grasos.,9,,0.3,2.3,0.6,1,1.6,2.2,1,0.7
8-14º,tulip,"Trapense agradable de pura malta, fresca y afrutada.",Comidas especiadas y quesos grasos.,6.5,0.4,,2.1,1,1,0.5,2.6,1.9,0.6
8-14º,goblet,Trapense doble. De cuerpo medio se embotella con levadura y azúcar.,"Chocolate, postres con café y carnes fritas.",7,,,2,2.9,2,1.6,1.4,0.7,
8-14º,tulip,Trapense elaborada para conmemorar el 125 aniversario de la fábrica.,Comidas especiadas y quesos grasos.,7.5,,,2.3,2.1,2.1,2.1,1.7,,
8-14º,goblet,"Cuádruple trapense, la más cargada de alcohol en la gama Trappe.","Queso azul, estofados, tarta de queso fuerte con frutos rojos y chocolate.",10,,,2.4,2.2,1.3,2.8,2.5,,
8-14º,goblet,"Trapense Triple, de las únicas que se elaboran en los Países Bajos.",Comidas especiadas y quesos grasos.,8,,,2.3,1.1,1,1.2,1.5,0.8,0.5
8-14º,tulip,Cerveza de abadía belga que tiene un personaje del tamaño de su fama.,Quesos mohosos.,6.6,,0.7,2.3,1.1,0.9,0.9,1.7,1.3,
8-14º,tulip,Color marrón oscuro intenso con sabor pleno y ligeramente dulce.,Quesos curados.,6.5,,0.5,2,3.6,1.8,1.5,1.5,1,0.3
8-14º,goblet,"Cerveza de abadía color ámbar, rica en sabor y deliciosamente refinada.",Comidas especiadas y quesos grasos.,8.2,,,2.4,2,1.8,1.3,1.3,1.8,0.6
8-14º,tulip,Cerveza trapense de intenso color naranja y agradable aroma.,Comidas especiadas y quesos grasos.,6.2,,,2.5,1.5,0.6,1.1,1.4,1.8,1.4
